SMILE A,SMILE B,SMILE C,SMILE D,SMILE E,Young's Modulus (kPa) log10,À´Ô´
[*]CC[*],O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],,,,6.220108088040055,10.4028_www.scientific.net_msf.659.85_part_1.txt_¶Î1_Material1
O=C(C(C[*])[*])N,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,O=C([O-])[O-].[Ca+2],,,0.9138138523837168,10.1021_bm501845j_part_1.txt_¶Î1_Material1
[*]C(C)C[*],NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,5.531478917042255,10.1007_s12221-014-2160-1_part_1.txt_¶Î1_Material1
[*]CC[*],O=[Ti]=O,,,,6.204119982655925,10.1177_0307174x1804500104_part_1.txt_¶Î1_Material1
C/C(C[*])=C/C[*],[*]C/C=C/CCC(C=C)CC([*])C1=CC=CC=C1,O=[Si]=O,O=[Si]=O,,3.0791812460476247,10.4028_www.scientific.net_msf.695.332_part_1.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C([O-])[O-].[Ca+2],,,,6.086715663944882,10.1007_s12221-016-5612-y_part_1.txt_¶Î1_Material1
[*]C(C)C[*],[*]C/C=C/CCC([*])C#N,,,,6.004321373782642,10.1177_0307174x1704400603_part_1.txt_¶Î1_Material1
O=C([*])CCCCCN[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,[H][Si]([H])([H])[H],[H][O-],,6.6452748593294935,10.4028_www.scientific.net_amr.299-300.460_part_1.txt_¶Î1_Material1
O=C([*])C(C)O[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,,6.196728722623287,10.1179_174328910x12691245470031_part_1.txt_¶Î1_Material1
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,COC1=CC(/C=C/C=O)=CC(OC2=CC(C(C(OC3=CC=C(C=C3OC)C(C(CO)=O)O)CO)O)=CC=C2OC4=CC(C(C(COC5=CC=C(C=C5)C(C(CO)=O)O)=O)O)=CC=C4O)=C1,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[H]O[H],,6.8779469516291885,10.1016_j.compositesa.2011.02.007_part_2.txt_¶Î1_Material1
