SMILE A,SMILE B,SMILE C,SMILE D,SMILE E,Tensile Strength (MPa) log10,À´Ô´
[*]C(C)C[*],CC(CC(C(C(O1)=O)CC1=O)[*])C[*],[*]C/C=C/CCC([*])C#N,,,1.3443922736851108,10.1080_03602559.2010.496420_part_1.txt_¶Î1_Material1
[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COC(C)=O)OC1COC(C)=O,[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COCCO)OC1COCCO,O=C(C1=CC=C(C=C1)OCCOC(C=C)=O)C(C)(C)O,[C],,1.6500159524718383,10.1016_j.carbpol.2018.12.026_part_1.txt_¶Î1_Material1
[*]C([H])([H])C(O)([H])[*],OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*],,,,1.710540447933297,10.1002_mawe.202000030_part_2.txt_¶Î1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,C[Si](C)(C[*])O[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,0.9084850188786496,10.1080_03602559.2017.1410837_part_1.txt_¶Î1_Material1
[*]CC([*])Cl,C/C(C[*])=C/C[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,O=C(O)CCCCCCCCCCCCCCCCC,[S],0.9708116108725178,10.1002_vnl.21401_part_1.txt_¶Î1_Material1
O=C([*])C(C)O[*],[H][Si]([H])([H])[H],[H][Si]([H])([H])[H],[Ti](OCCCC)(OCCCC)(OCCCC)OCCCC,,1.7840464158081133,10.1504_ijmmp.2014.066566_part_1.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[*]C([H])([H])C(O)([H])[*],,,1.416640507338281,10.1039_c3tb20059k_part_1.txt_¶Î1_Material1
[*]C(C)C[*],C/C(C[*])=C/C[*],NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,[H][Si]([H])([H])[H],,1.6232492903979006,10.1002_pc.22178_part_1.txt_¶Î1_Material1
O=C([*])C(C)O[*],[*]C(CCCCCO[*])=O,,,,1.5601458398490475,10.1155_2014_213180_part_1.txt_¶Î1_Material1
[*]C(C)C[*],[Al],,,,1.0791812460476249,10.3390_ma13020479_part_1.txt_¶Î1_Material1
