SMILE A,SMILE B,SMILE C,SMILE D,SMILE E,Elongation at Break (%) log10,À´Ô´
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,COC1=CC(/C=C/C=O)=CC(OC2=CC(C(C(OC3=CC=C(C=C3OC)C(C(CO)=O)O)CO)O)=CC=C2OC4=CC(C(C(COC5=CC=C(C=C5)C(C(CO)=O)O)=O)O)=CC=C4O)=C1,[Mg],N(CC)(CC)CC,O=C(CN(CN(CC(O)=O)CC(O)=O)CC(O)=O)O,2.905256048748451,10.3390_polym8090318_part_1.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],,,,,1.3010299956639813,10.1016_j.istruc.2020.02.023_part_1.txt_¶Î1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,,,,2.4771212547196626,10.1007_s00289-017-2088-x_part_5.txt_¶Î1_Material1
O=C([*])CCCCCN[*],[*]CCCC([*])C(OC)=O,[*]C/C=C/CCC([*])C#N,,,2.39022836246913,10.1002_app.32458_part_1.txt_¶Î1_Material1
C/C(C[*])=C/C[*],[*]OCCO[*],[H]O[H],,,1.8438554226231607,10.1002_app.31601_part_1.txt_¶Î1_Material1
C/C(C[*])=C/C[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,O=C(O)CCCCCCCCCCCCCCCCC,[S],,2.0791812460476247,10.1155_2010_981690_part_1.txt_¶Î1_Material1
C/C(C[*])=C/C[*],[*]C/C=C\CCC(C=C)[*],,,,2.4771212547196626,10.1002_app.39795_part_1.txt_¶Î1_Material1
[*]C([H])([H])C(O)([H])[*],O=[Si]=O.[Ca]=O,,,,0.6020599913279624,10.4028_www.scientific.net_amm.584-586.1477_part_1.txt_¶Î1_Material1
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,O=C(O[Na])COCC(OC(C(C1O)O)[*])C1OC(C(C(C2O[*])O)O)OC2COCC(O[Na])=O,OCCOC1C(OCCO)C(C(OCCO)COCCOC(CCCCCCCCCCCCCCCCC)=O)OC1,OCC(O)CO,Cl[Ca]Cl,1.3053513694466237,10.1016_j.fpsl.2017.11.001_part_1.txt_¶Î1_Material1
O=C([*])C(C)O[*],OP(O)(O)=O,O=C([*])C(C)O[*],,,0.4771212547196624,10.3390_polym13152531_part_3.txt_¶Î1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,,,,,0.1760912590556812,10.1002_pen.25109_part_1.txt_¶Î1_Material1
[*]C(C)C[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[H][Si]([H])([H])[H],,,0.4712917110589386,10.1002_pc.24004_part_1.txt_¶Î1_Material1
